gene_id,pyrE-1,pyrE-2,pyrE-3,pyrE-4,rosR-1,rosR-2,rosR-3,rosR-4
HVO_RS20875,2980.7431505441,3370.62258689382,3511.02144790199,2853.75042856413,3822.38212510515,3937.98546242242,3428.47668984283,3830.49067469582
HVO_RS08340,2603.57936598525,2586.23787993888,2522.33026412471,2261.92709952098,2856.05608255201,2666.03819902339,2870.88706788646,2503.41831372872
HVO_RS08345,2025.81877634245,1966.33426538019,1969.59739760356,1986.20242043266,1924.53169819407,1819.29785472454,1812.66590363594,1750.91955396599
HVO_RS08350,616.41726562251,537.249799284204,620.851353592426,634.166761903139,561.46675221575,601.534626372828,609.551378841191,566.640632351452
HVO_RS08355,2045.66950184555,1930.79312481215,1949.16185148218,2060.05724518846,2136.82181318473,1993.78881504643,2124.43644494487,2067.1050268181
HVO_RS08360,123463.154429056,128630.826559082,125975.410625874,108311.54706287,136841.280078765,139767.259217833,127102.454398499,153473.481991126
HVO_RS08365,5760.88949600427,5526.23408925259,5989.56125605232,6504.14823349415,6188.89488237815,5299.93332640854,5717.79178644147,5887.39617013159
HVO_RS08370,914.178148168977,905.885815408442,1036.37412472717,1111.76129532398,1023.16875093862,894.495765018526,910.330010039877,874.893136350642
HVO_RS08375,2521.04213889342,2744.93320526591,2651.75538956012,2342.67504125399,2816.61420326413,2666.95657249877,2798.94001989209,2767.47284840449
HVO_RS20880,178.65652952788,181.838393603884,179.054308873051,205.808778319497,262.172491737106,191.0216828787,270.800694534365,236.855784322907
HVO_RS08380,14123.2688079408,14003.2093838046,14273.7424051625,15752.7417549138,13499.5632139146,14666.4244017925,13874.7883528032,13764.8342410815
HVO_RS08385,21907.8875302346,22657.063843044,22127.8039644799,20277.5806849525,22188.3772099807,24745.57329407,22062.7621203847,23489.5207734971
HVO_RS08390,2619.25099138243,2537.47212892693,2744.20190772828,3225.97874533336,2925.6593989424,2769.81440174114,2625.06798723903,2477.35284464055
HVO_RS08395,393.880184982519,389.299469942862,448.608893426502,453.960989498986,409.499511430082,349.900294119156,438.677139854562,455.579068410568
HVO_RS08400,912.088598116019,865.385445923941,951.712576510019,815.357265304036,851.480570509009,970.72076347493,1107.18512746892,1042.61876352667
HVO_RS08405,8395.81211278388,9148.12427458087,8895.30129026389,8766.07533301513,10336.0924839718,9040.46849162461,8880.46410452732,8754.59776982994
HVO_RS08410,10939.8393022598,10901.2116965529,11667.7237140645,11119.5824152333,10766.4729903189,10474.9678601656,10922.960855923,11814.4571845278
HVO_RS08415,1987.16210036274,1956.41580754725,2068.85576447884,1987.1871514294,2186.70418993117,1905.6249614101,1970.54970340136,2068.2383080828
HVO_RS08420,112.835702859714,134.725718897423,133.317610410913,129.984491570209,124.125914229515,134.082527405241,112.916894768942,112.194845205588
HVO_RS08425,413.730910485617,400.044465928546,405.79155869599,418.510673616202,324.81547648845,395.818967888075,433.680817077175,419.314067940075
HVO_RS08430,48993.6800916983,48317.7673331631,53763.9756028651,52802.2607764103,54331.1887190592,59724.5822242811,53169.867732395,58863.7621699336
HVO_RS08435,1352.98365929009,1481.98290787166,1471.35932073942,1399.30274637323,1620.59721662273,1431.74424811487,1544.863002768,1525.39658229011
HVO_RS08440,2269.25135751202,2065.51884370958,2172.97973757349,2503.18619372326,2202.9449637556,1915.72706963927,2086.46439183673,2137.36846522968
HVO_RS08445,4042.2345774466,3681.40093232591,3845.77515579509,4110.26718040947,3639.09339194381,3493.49270033929,3766.22810959418,3478.04020137321
HVO_RS08450,6399.24703718284,6246.14882029343,6036.27107575833,6063.97347794958,6023.0069783144,6722.49383976962,6134.48510607553,6348.64164486567
HVO_RS08455,104813.920206409,114324.27767322,108562.37908797,100773.431282794,102876.021735531,107994.292090168,102935.241124279,106616.83482072
HVO_RS08460,3303.57863372606,3122.66114107034,3267.74113693317,3339.22280995892,3315.43797072854,2963.59120504598,3255.60392174525,3238.9178545209
HVO_RS08465,809.700645521094,814.9666186065,810.609996148104,776.95275643102,767.95659084055,742.964141581096,730.462390053952,829.561885762526
HVO_RS08470,331.193683393789,397.564851470311,383.409770086858,336.77800088645,373.537797961718,315.920475530157,380.719795636875,346.784066999089
HVO_RS08475,592.387440013497,600.066698892819,653.937475884185,703.097931675219,704.153550816033,595.10601204518,656.516812948627,587.039695116105
HVO_RS08480,1744.77429421965,2016.75309269763,2140.86673652561,2147.69830389867,2053.29783351627,1870.72676934573,1942.57029584799,1654.59064646624
HVO_RS08485,2132.38582904329,2294.46991201992,2472.70108068707,2537.6517786093,2142.6220895506,2170.11652231907,2174.39967271874,2058.03877670047
HVO_RS08490,2345.51993444497,2635.83016910358,2743.2287864844,2683.39196612741,2546.32132461481,2522.77193686436,2443.20183814215,2375.35753081729
HVO_RS08495,590.297889960539,585.18901214341,642.260020957682,612.502679974771,735.475043191705,713.576190368988,678.500633169129,709.434071704018
HVO_RS08500,5967.75495124708,6388.31338256556,6454.7132106247,6054.12616798214,6056.64858123642,6073.20379267712,5823.71382932207,6004.12414039599
HVO_RS08505,2306.86325846526,2366.37873130873,2429.88374595656,2246.17140357307,2494.11883732203,2323.48489270726,2557.11799746657,2530.61706408159
HVO_RS08510,6083.72497918623,6159.36231425521,5976.91067988194,6555.35424532484,6361.74311808093,5719.63000465645,6124.49246052075,5455.61600827978
HVO_RS08515,27399.2250694073,26164.8917632935,24785.3980815033,26993.4460827467,26757.8349310093,26522.6259689271,26044.831373962,24048.2284369956
HVO_RS08520,1606.86399072444,1359.65526126541,1582.2951425412,1609.0504486797,1530.11290531523,1337.1517801509,1624.80416720619,1489.13158181962
HVO_RS08525,1429.25223622304,1433.21715685971,1518.06914044543,1599.20313871226,1765.60412576936,1406.02979080427,1564.84829387755,1583.19392678996
HVO_RS08530,10445.6607147353,9933.33551968855,9590.10985839084,10755.231946438,9405.72815488698,8826.48747186145,9279.17066216279,8836.19402088855
HVO_RS08535,5432.83013768992,4698.04286020218,4161.06643881068,3007.36846405619,4744.62606727772,4783.8074332459,5995.58733286417,4862.90990684016
HVO_RS08540,5158.05430572599,5532.84639447456,5865.00173683628,5516.46304375991,5541.58403994759,5459.73031112437,5782.7439825475,5889.662732661
HVO_RS08545,15628.7896210968,17310.188532937,16339.6788059097,16197.8401654421,17695.4831369815,18208.5908963268,16573.8019171475,17146.5455349549
HVO_RS08550,1678.95346755148,1775.40395209611,1629.00496224721,1777.43944912293,1867.68898980859,1686.13370079468,1741.71812019704,1711.25470970139
HVO_RS08555,2031.04265147485,2093.62114090291,2152.54419145211,2335.78192427678,2295.74938560944,1979.09483944037,2012.51881473141,1969.64283805365
HVO_RS08560,3486.41426335986,3740.91167932355,3765.00609255344,3799.09218543837,3583.41073883151,3362.16529336019,3582.36343138634,3721.69567328434
HVO_RS08565,31079.9674876923,31973.8019007848,33570.7366712092,35243.5223734679,26755.5148204629,28298.7602703089,26743.3172982406,27684.9280154273
HVO_RS08570,790.894695044475,875.30390375688,800.878783709351,833.082423245428,737.795153738051,735.617153778069,797.413115270935,745.699072174511
HVO_RS08575,1350.89410923713,1338.99180744678,1471.35932073942,1355.97458251649,1451.22914673947,1399.60117647663,1485.90639399484,1541.26251999595
HVO_RS08580,26268.7784907572,26216.9636669164,26378.3975577271,25111.6251479689,24117.5491292674,25964.2548958971,24185.2000362186,23768.307964614
HVO_RS08585,7802.37989774391,7505.7929650767,6989.9298947561,7104.83414150799,7412.7531955757,7340.55918869926,8187.97376758151,7518.18791003907
HVO_RS08590,2409.25121106018,2201.07110075975,2298.5123780334,2397.81997707165,2102.02015498954,2092.05477691191,2142.42320694346,2238.23049778824
HVO_RS08595,6192.38158194003,6207.30152711442,5773.52833991201,5739.01224902406,5839.71824515306,5744.42608849166,5638.84988655876,5362.68694457414
HVO_RS08600,223.58185566647,252.094136587203,213.113552408685,194.976737355313,277.253210288356,259.899693532077,231.829376870748,220.989846617066
HVO_RS08605,620.596365728425,700.9043535277,683.131113200443,737.563516561259,725.034545733148,674.086130927719,719.470479943701,710.567352968721
HVO_RS08610,2457.31086227821,2315.13336583855,2664.4059657305,2460.84276086327,3055.58558953778,2476.85326309545,2715.00179723199,2802.60456761028
HVO_RS08615,562.088964245611,581.88285953243,603.335171202671,659.769767818483,567.267028581615,522.554507490289,605.554320619282,505.443444057495
HVO_RS08620,6601.93339231973,6745.37786455137,7021.06977456011,6707.00281882341,6801.40406661351,6619.63601052725,6819.980591133,6638.76164862962
HVO_RS08625,3760.14532029731,3526.01175960987,4122.14158905567,4049.21385861135,3447.68427187026,3257.47071716706,3290.57818118695,3594.76817163761
HVO_RS08630,9395.66181312412,10326.7676803951,10709.1992888474,10135.836149486,9797.82683721946,10486.9067153455,10028.6190787708,9895.81200338576
HVO_RS08635,9497.00499069257,10355.6965157412,10249.8860617383,10204.7673192581,10376.6944185328,9789.86124753335,10404.3425516303,10046.5384115913
HVO_RS08640,1336.26725886642,1464.62560666401,1511.2572917383,1587.38636675134,1579.99528206168,1397.76442952587,1447.9343408867,1548.06220758417
HVO_RS08645,2934.77304937903,2978.84350249272,2877.51951813919,2936.46783229062,2729.61005777615,2650.42584994196,2678.02900867933,2717.60847275757
HVO_RS08650,3054.9221774241,3287.96877161933,3177.24086125277,3421.94021368542,3071.8263633622,3232.67463333184,3256.60318630072,3213.98566669744
HVO_RS08655,4290.89103374856,4231.04880390129,4236.96989583295,4634.14407067729,4074.1141193837,3763.49450210053,4025.03762946281,3914.35348828383
HVO_RS08660,11566.7043181471,12131.1004678373,12308.0374925345,12814.3044606297,14371.9247793407,12485.2873977689,12816.5671885526,13258.2575157593
HVO_RS08665,8512.82691574951,7747.96864383096,8096.36874904229,8379.07605129473,6590.27400689602,7001.67937628464,6460.24535116115,6502.76789686527
HVO_RS08670,2709.10164365961,2741.62705265493,2799.66981862917,2529.77393063535,2540.52104824895,2867.16199013125,2894.86941721792,3240.0511357856
HVO_RS08675,2468.80338756948,2511.84944619184,2460.0505045167,2096.49229206799,2361.8725361803,2266.5457372338,2312.29818137462,2274.49549825873
HVO_RS08680,4927.15902487417,4873.2689485841,5045.6336494933,4274.71725686572,5293.33221148856,5112.58513743135,5415.01462613183,5345.6877256036
HVO_RS08685,2090.59482798414,2061.38615294585,2065.93640074721,2079.75186512334,2038.21711496502,2149.91230586075,1958.55852873563,1967.37627552424
HVO_RS08690,4327.45815967532,4283.94724567697,4126.03407403117,4342.66369564106,4472.01307808205,4298.90623824612,4176.92584189537,4245.27161757708
HVO_RS08695,3712.08566907928,3766.53436205864,3798.0922148452,3761.6724075621,3799.18101964169,3663.39179328429,3769.22590326061,3822.5577058429
HVO_RS20885,74.179026879997,90.0926586491972,81.7421844855231,79.7632107362644,103.2449193124,82.6536127840527,102.924249214168,83.862813588015
