gene_id,pyrE-1,pyrE-2,rosR-1,rosR-2,rosR-3,rosR-4
HFX_RS11875,2034,1919,1694,2282,1968,1685
HFX_RS11880,12782,4383,11099,14179,12728,10382
HFX_RS11885,2178,3476,2047,2972,2311,2244
HFX_RS11890,18748,11013,15776,18841,16977,13807
HFX_RS11895,8136,4872,8115,9390,8610,6808
HFX_RS11900,29480,29471,25681,28511,24986,21839
HFX_RS19715,1984,688,1138,1166,1187,987
HFX_RS11910,1863,328,1012,1400,1265,1137
HFX_RS11915,1302,321,780,1116,1143,861
HFX_RS11920,6103,1048,3183,4880,4166,3696
HFX_RS11925,14873,3098,10793,11646,9279,9924
HFX_RS11930,21216,5253,23026,23462,21053,17113
HFX_RS11935,15275,3994,13980,13642,12837,11000
HFX_RS11940,3788,2556,2604,3010,2893,2640
HFX_RS11945,6202,5952,4877,5238,4493,4435
HFX_RS11950,3407,1738,1100,1180,956,1023
HFX_RS11955,8023,27723,8380,11890,9335,8091
HFX_RS11960,3397,9496,3327,4467,3904,3535
HFX_RS11965,886,1024,744,1243,1062,890
HFX_RS11970,2671,8043,5641,6885,5091,4577
HFX_RS11975,7623,15620,12419,19445,16693,11991
