gene_id,symbol,biotype,log2FoldChange,lfcSE,pvalue,padj,WT_mean,KO_mean
HVO_RS15410,HVO_RS15410,protein_coding,-0.0529517667346344,0.0443519841221739,0.18636098201745,0.389246488293734,13834.5771905608,13234.1510894877
HVO_RS09775,HVO_RS09775,protein_coding,-0.0514072669814951,0.0427635865314704,0.186365795800404,0.389246488293734,11782.5597465096,11290.1445249543
HVO_RS13265,HVO_RS13265,protein_coding,0.0727907803714982,0.0756534908628565,0.186513289252977,0.389246488293734,290.296211131975,318.716398006211
HVO_RS02615,HVO_RS02615,protein_coding,0.0739696986906948,0.0859954816024267,0.186554287092685,0.389246488293734,624.495990981997,700.466561953082
HVO_RS07795,HVO_RS07795,protein_coding,0.0592136823608019,0.125008431806747,0.186703676314213,0.389333660463875,374.247378340428,490.448206783306
HVO_RS05535,HVO_RS05535,protein_coding,0.0621440458130537,0.0551216915841877,0.18690190767318,0.389522524171409,1357.90048362334,1439.67220288456
HVO_RS12265,HVO_RS12265,protein_coding,-0.0567559003128903,0.048670019405322,0.187707404748772,0.390976045124385,3446.34340705003,3279.85080474752
HVO_RS00685,HVO_RS00685,protein_coding,0.0698492132348865,0.0680338185425397,0.187900263550588,0.391152562443054,1708.10240205354,1844.75308968747
HVO_RS14165,HVO_RS14165,protein_coding,-0.0529492537940303,0.0445826126555746,0.188212360427194,0.391438705542362,8680.18842130056,8304.0849904305
HVO_RS13910,HVO_RS13910,protein_coding,0.0673152313753771,0.0632038708405028,0.188254103826343,0.391438705542362,946.792686088144,1015.70115414413
HVO_RS19240,HVO_RS19240,protein_coding,0.0660423026954753,0.110917231132375,0.188489954198365,,53.9206619988028,66.1550440436475
HVO_RS03975,HVO_RS03975,protein_coding,-0.0633641435965766,0.116016437172022,0.189147921187448,,59.4504742649034,47.4262099712743
HVO_RS15660,HVO_RS15660,protein_coding,0.0732778668545702,0.0890772872658135,0.189257117510272,0.39329824879504,125.821413538351,141.936310874783
HVO_RS00985,HVO_RS00985,protein_coding,0.0660226376090607,0.0613500410960905,0.189539891490001,0.393659774633079,2481.7192636874,2651.65428133012
HVO_RS14475,HVO_RS14475,protein_coding,-0.0576499170935111,0.0500042078700864,0.189717322229611,0.393686910583992,6356.90712199645,6039.80298481579
HVO_RS10560,HVO_RS10560,protein_coding,-0.0733802690672093,0.0844213524144166,0.189982659061163,0.393686910583992,238.054317924753,212.545141498066
HVO_RS08670,HVO_RS08670,protein_coding,0.0666136585204588,0.0624479403126875,0.189988471252581,0.393686910583992,2695.04311139476,2885.65089784593
HVO_RS01080,HVO_RS01080,protein_coding,-0.0702594952053927,0.100563875925702,0.190159265494423,0.393686910583992,93.1193641784725,79.7810981998133
HVO_RS07310,HVO_RS07310,protein_coding,0.0663572769909512,0.0620607636237694,0.190171061299009,0.393686910583992,488.236319340174,523.21370926427
HVO_RS13735,HVO_RS13735,protein_coding,-0.0732758195691415,0.0871631152346245,0.190205837396578,0.393686910583992,159.120617304692,141.185357943858
HVO_RS15535,HVO_RS15535,protein_coding,0.0731654651780819,0.0880981250164892,0.19044308777856,0.393878060305204,202.831232177292,228.755838420674
HVO_RS21190,HVO_RS21190,protein_coding,0.0409878672227732,0.156801311824936,0.190524126139759,,4.09035917646275,7.20028043651008
HVO_RS14935,HVO_RS14935,protein_coding,-0.0727350777756979,0.078655125576378,0.190646639420613,0.393878060305204,1589.80572503401,1441.85341392479
HVO_RS10260,HVO_RS10260,protein_coding,-0.072148669126103,0.0940926890116178,0.190665761855107,0.393878060305204,122.584310084928,106.216348431074
HVO_RS09720,HVO_RS09720,protein_coding,0.0673605558883746,0.0639611593455817,0.190733654409817,0.393878060305204,969.632663183675,1040.7509562167
